NOM;TYPE;PG;CA;MG;NA;K;SUL;NO3;HCO3;CL
Evian;M;P;78;24;5;1;10;3,8;357;4,5
Montagne Pyrenees;S;P;48;11;34;1;16;4;183;50
Cristaline;S;P;71;5,5;11,2;3,2;5;1;250;20
Fiee des Lois;S;P;89;31;17;2;47;0;360;28
Volcania;S;P;4,1;1,7;2,7;0,9;1,1;0,8;25,8;0,9
Luchon;M;P;26,5;1;0,8;0,2;8,2;1,8;78,1;2,3
Volvic;M;P;9,9;6,1;9,4;5,7;6,9;6,3;65,3;8,4
Alpes/Moulettes;S;P;63;10,2;1,4;0,4;51,3;2;173,2;1
Ondine;S;P;46,1;4,3;6,3;3,5;9;0;163,5;3,5
Thonon;M;P;108;14;3;1;13;12;350;9
Aix les Bains ;M;P;84;23;2;1;27;0,2;341;3
La Bondoire Saint Hyppol;S;P;86;3;17;1;7;19;256;21
Salvetat;M;G;253;11;7;3;25;1;820;4
Alisea;M;P;12,3;2,6;2,5;0,6;10,1;2,5;41,6;0,9
San Benedetto;M;P;46;28;6,8;1;5,8;6,6;287;2,4
Levissima;M;P;19,8;1,8;1,7;1,8;14,2;1,5;56,5;0,3
Vera;M;P;36;13;2;0,6;18;3,6;154;2,1
San Antonio;M;P;32,5;6,1;4,9;0,7;1,6;4,3;135,5;1
Saint Benoit;S;G;46,1;4,3;6,3;3,5;9;0;163,5;3,5
Plancoet;M;P;36;19;36;6;43;0;195;38
Saint Alix;S;P;8;10;33;4;20;0,5;84;37
Saint Georges/Corse;S;P;5,2;2,43;14,05;1,15;6;0;30,5;25
Hildon bleue;M;P;97;1,7;7,7;1;4;26,4;236;16
Hildon blanche;M;G;97;1,7;7,7;1;4;5,5;236;16
Mont Roucous;M;P;1,2;0,2;2,8;0,4;3,3;2,3;4,9;3,2
Ogeu;S;P;48;11;31;1;16;4;183;44
Highland spring;M;P;35;8,5;6;0,6;6;1;136;7,5
Vernière;M;G;190;72;154;49;158;0;1170;18
Terres de Flein;S;P;116;4,2;8;2,5;24,5;1;333;15
Pyrenees;M;G;48;12;31;1;18;4;183;35
Montcalm;S;P;3;0,6;1,5;0,4;8,7;0,9;5,2;0,6
Chantereine;S;P;119;28;7;2;52;0;430;7
18 Carats;S;G;118;30;18;7;85;0,5;403;39
Spring Water;S;G;117;19;13;2;16;20;405;28
Montclar;S;P;41;3;2;0;2;3;134;3
